Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,6.0,32.0,186.0,39.0,55.0,52.5
Antonino,Spinalbese,10.0,12.0,210.0,8.0,26.0,14.0
Attilio,Romita,22.0,11.0,118.0,27.0,26.0,12.0
Charlie,Gnocchi,1.0,5.0,43.0,19.0,7.0,13.0
Daniele,Dal Moro,16.0,9.0,220.0,165.0,88.0,150.0
Edoardo,Donnamaria,1.0,21.0,39.0,4.0,0.0,-9.5
Edoardo,Tavassi,0.0,0.0,19.0,0.0,4.0,4.0
George,Ciupilan,1.0,54.0,99.0,41.0,25.0,17.5
Luca,Onestini,0.0,6.0,17.0,1.0,22.0,19.5
Luca,Salatino,0.0,0.0,26.0,0.0,0.0,0.0
Luciano,Punzo,0.0,0.0,0.0,7.0,1.0,4.5
Micol,Incorvaia,3.0,18.0,333.0,84.0,23.0,53.0
Nikita,Pelizon,15.0,93.0,307.0,117.0,91.0,88.0
Oriana,Marzioli,13.0,7.0,168.0,21.0,46.0,40.0
Patrizia,Rossetti,0.0,0.0,23.0,4.0,29.0,31.0
Sarah,Altobelli,3.0,8.0,41.0,5.0,9.0,4.5
Giaele,De Donà,0.0,7.0,196.0,34.0,29.0,42.5
Wilma,Goich,0.0,9.0,9.0,2.0,32.0,28.5
