Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,0.0,4.0,45.0,20.0,10.0,18.0
Antonino,Spinalbese,2.0,1.0,6.0,7.0,1.0,2.0
Attilio,Romita,0.0,0.0,9.0,0.0,0.0,0.0
Charlie,Gnocchi,0.0,0.0,17.0,15.0,0.0,7.5
Daniele,Dal Moro,0.0,0.0,3.0,0.0,5.0,5.0
Edoardo,Donnamaria,0.0,6.0,12.0,2.0,1.0,-1.0
Edoardo,Tavassi,0.0,6.0,12.0,2.0,1.0,-1.0
George,Ciupilan,0.0,0.0,4.0,2.0,0.0,1.0
Luca,Onestini,0.0,4.0,10.0,7.0,0.0,1.5
Luca,Salatino,0.0,4.0,10.0,7.0,0.0,1.5
Luciano,Punzo,0.0,0.0,5.0,2.0,1.0,2.0
Micol,Incorvaia,16.0,5.0,109.0,6.0,7.0,-8.5
Nikita,Pelizon,1.0,10.0,67.0,23.0,33.0,38.5
Oriana,Marzioli,0.0,3.0,21.0,18.0,1.0,8.5
Patrizia,Rossetti,2.0,2.0,98.0,4.0,3.0,2.0
Sarah,Altobelli,0.0,0.0,7.0,0.0,1.0,1.0
Giaele,De Donà,0.0,0.0,0.0,0.0,0.0,0.0
Wilma,Goich,2.0,0.0,48.0,4.0,1.0,1.0
