Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,5.0,15.0,109.0,63.0,42.0,61.0
Antonino,Spinalbese,10.0,62.0,210.0,93.0,48.0,53.5
Attilio,Romita,0.0,0.0,0.0,0.0,7.0,7.0
Charlie,Gnocchi,1.0,12.0,43.0,22.0,0.0,4.0
Daniele,Dal Moro,1.0,16.0,102.0,75.0,43.0,71.5
Edoardo,Donnamaria,20.0,0.0,41.0,15.0,6.0,-6.5
Edoardo,Tavassi,0.0,0.0,68.0,6.0,6.0,9.0
George,Ciupilan,0.0,6.0,68.0,16.0,18.0,23.0
Luca,Onestini,0.0,0.0,18.0,7.0,1.0,4.5
Luca,Salatino,0.0,4.0,16.0,0.0,0.0,-2.0
Luciano,Punzo,0.0,1.0,86.0,13.0,22.0,28.0
Micol,Incorvaia,16.0,9.0,213.0,25.0,21.0,13.0
Nikita,Pelizon,3.0,37.0,221.0,74.0,54.0,69.5
Oriana,Marzioli,1.0,32.0,180.0,39.0,16.0,18.5
Patrizia,Rossetti,1.0,28.0,156.0,27.0,9.0,7.5
Sarah,Altobelli,2.0,1.0,17.0,0.0,6.0,3.5
Giaele,De Donà,2.0,12.0,67.0,23.0,15.0,18.5
Wilma,Goich,0.0,38.0,111.0,39.0,17.0,17.5
