Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,17.0,36.0,206.0,58.0,21.0,15.0
Antonino,Spinalbese,2.0,16.0,259.0,69.0,33.0,57.5
Attilio,Romita,0.0,0.0,103.0,5.0,1.0,3.5
Charlie,Gnocchi,14.0,36.0,335.0,161.0,39.0,87.5
Daniele,Dal Moro,0.0,2.0,97.0,33.0,7.0,22.5
Edoardo,Donnamaria,18.0,38.0,227.0,80.0,34.0,37.0
Edoardo,Tavassi,18.0,38.0,227.0,80.0,34.0,37.0
George,Ciupilan,0.0,22.0,249.0,68.0,23.0,46.0
Luca,Onestini,1.0,12.0,145.0,21.0,33.0,36.5
Luca,Salatino,1.0,12.0,145.0,21.0,33.0,36.5
Luciano,Punzo,0.0,9.0,82.0,21.0,17.0,23.0
Micol,Incorvaia,12.0,49.0,141.0,30.0,21.0,-0.5
Nikita,Pelizon,0.0,57.0,288.0,110.0,71.0,97.5
Oriana,Marzioli,11.0,31.0,225.0,45.0,28.0,24.0
Patrizia,Rossetti,0.0,0.0,35.0,8.0,7.0,11.0
Sarah,Altobelli,0.0,4.0,7.0,4.0,1.0,1.0
Giaele,De Donà,1.0,5.0,17.0,7.0,2.0,2.0
Wilma,Goich,0.0,0.0,14.0,11.0,2.0,7.5
