Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,4.0,14.0,412.0,128.0,58.0,111.0
Antonino,Spinalbese,4.0,3.0,92.0,55.0,20.0,42.0
Attilio,Romita,1.0,0.0,36.0,18.0,4.0,12.0
Charlie,Gnocchi,0.0,5.0,59.0,7.0,0.0,1.0
Daniele,Dal Moro,4.0,23.0,311.0,66.0,43.0,60.5
Edoardo,Donnamaria,0.0,0.0,13.0,3.0,0.0,1.5
Edoardo,Tavassi,1.0,0.0,5.0,2.0,5.0,5.0
George,Ciupilan,1.0,1.0,122.0,19.0,25.0,33.0
Luca,Onestini,0.0,0.0,33.0,5.0,1.0,3.5
Luca,Salatino,0.0,3.0,1.0,1.0,5.0,4.0
Luciano,Punzo,2.0,2.0,22.0,0.0,5.0,2.0
Micol,Incorvaia,1.0,24.0,314.0,62.0,27.0,45.0
Nikita,Pelizon,9.0,40.0,525.0,173.0,151.0,208.5
Oriana,Marzioli,2.0,24.0,285.0,32.0,24.0,26.0
Patrizia,Rossetti,5.0,10.0,157.0,61.0,37.0,57.5
Sarah,Altobelli,0.0,0.0,44.0,0.0,0.0,0.0
Giaele,De Donà,3.0,21.0,144.0,21.0,34.0,31.0
Wilma,Goich,6.0,20.0,118.0,101.0,24.0,58.5
