Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,35.0,118.0,288.0,124.0,44.0,12.0
Antonino,Spinalbese,33.0,59.0,78.0,10.0,7.0,-50.5
Attilio,Romita,0.0,0.0,7.0,2.0,1.0,2.0
Charlie,Gnocchi,0.0,0.0,3.0,3.0,2.0,3.5
Daniele,Dal Moro,0.0,2.0,90.0,61.0,25.0,54.5
Edoardo,Donnamaria,0.0,0.0,4.0,0.0,0.0,0.0
Edoardo,Tavassi,0.0,0.0,4.0,0.0,0.0,0.0
George,Ciupilan,3.0,17.0,136.0,64.0,33.0,53.5
Luca,Onestini,0.0,3.0,27.0,4.0,1.0,1.5
Luca,Salatino,0.0,0.0,11.0,0.0,0.0,0.0
Luciano,Punzo,0.0,0.0,0.0,0.0,1.0,1.0
Micol,Incorvaia,4.0,24.0,97.0,35.0,14.0,15.5
Nikita,Pelizon,53.0,62.0,505.0,135.0,51.0,34.5
Oriana,Marzioli,34.0,54.0,302.0,50.0,59.0,23.0
Patrizia,Rossetti,0.0,0.0,9.0,6.0,2.0,5.0
Sarah,Altobelli,0.0,0.0,42.0,4.0,4.0,6.0
Giaele,De Donà,6.0,12.0,111.0,27.0,15.0,16.5
Wilma,Goich,0.0,0.0,1.0,0.0,0.0,0.0
