Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,12.0,126.0,261.0,93.0,44.0,15.5
Antonino,Spinalbese,22.0,164.0,325.0,136.0,68.0,32.0
Attilio,Romita,0.0,3.0,33.0,1.0,2.0,1.0
Charlie,Gnocchi,0.0,0.0,6.0,1.0,0.0,0.5
Daniele,Dal Moro,13.0,21.0,88.0,31.0,46.0,38.0
Edoardo,Donnamaria,1.0,0.0,24.0,4.0,3.0,4.0
Edoardo,Tavassi,1.0,0.0,1.0,0.0,0.0,-1.0
George,Ciupilan,10.0,1.0,57.0,11.0,8.0,3.0
Luca,Onestini,0.0,0.0,0.0,0.0,0.0,0.0
Luca,Salatino,0.0,0.0,0.0,0.0,2.0,2.0
Luciano,Punzo,0.0,0.0,1.0,0.0,0.0,0.0
Micol,Incorvaia,4.0,44.0,200.0,52.0,19.0,19.0
Nikita,Pelizon,1.0,30.0,125.0,60.0,76.0,90.0
Oriana,Marzioli,16.0,178.0,430.0,130.0,105.0,65.0
Patrizia,Rossetti,1.0,4.0,55.0,12.0,0.0,3.0
Sarah,Altobelli,0.0,0.0,10.0,6.0,1.0,4.0
Giaele,De Donà,5.0,84.0,311.0,35.0,76.0,46.5
Wilma,Goich,1.0,0.0,3.0,0.0,0.0,-1.0
