Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,0.0,13.0,47.0,66.0,19.0,45.5
Antonino,Spinalbese,2.0,0.0,14.0,6.0,7.0,8.0
Attilio,Romita,0.0,0.0,0.0,0.0,2.0,2.0
Charlie,Gnocchi,0.0,0.0,6.0,0.0,0.0,0.0
Daniele,Dal Moro,0.0,0.0,14.0,8.0,6.0,10.0
Edoardo,Donnamaria,4.0,4.0,31.0,19.0,5.0,8.5
Edoardo,Tavassi,4.0,4.0,31.0,19.0,5.0,8.5
George,Ciupilan,0.0,3.0,21.0,16.0,9.0,15.5
Luca,Onestini,1.0,9.0,23.0,12.0,0.0,0.5
Luca,Salatino,1.0,9.0,23.0,12.0,0.0,0.5
Luciano,Punzo,0.0,0.0,2.0,0.0,2.0,2.0
Micol,Incorvaia,0.0,12.0,67.0,42.0,11.0,26.0
Nikita,Pelizon,1.0,8.0,44.0,21.0,9.0,14.5
Oriana,Marzioli,1.0,0.0,18.0,10.0,0.0,4.0
Patrizia,Rossetti,0.0,0.0,5.0,1.0,7.0,7.5
Sarah,Altobelli,0.0,0.0,0.0,0.0,0.0,0.0
Giaele,De Donà,1.0,1.0,12.0,4.0,2.0,2.5
Wilma,Goich,1.0,1.0,2.0,1.0,1.0,0.0
