Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,22.0,41.0,385.0,90.0,61.0,63.5
Antonino,Spinalbese,7.0,1.0,153.0,74.0,22.0,51.5
Attilio,Romita,0.0,0.0,12.0,4.0,11.0,13.0
Charlie,Gnocchi,6.0,2.0,37.0,9.0,22.0,19.5
Daniele,Dal Moro,0.0,8.0,63.0,7.0,23.0,22.5
Edoardo,Donnamaria,0.0,1.0,16.0,0.0,0.0,-0.5
Edoardo,Tavassi,1.0,0.0,8.0,2.0,0.0,0.0
George,Ciupilan,0.0,12.0,81.0,27.0,15.0,22.5
Luca,Onestini,0.0,0.0,30.0,1.0,2.0,2.5
Luca,Salatino,0.0,0.0,14.0,0.0,0.0,0.0
Luciano,Punzo,6.0,1.0,25.0,5.0,16.0,12.0
Micol,Incorvaia,14.0,28.0,215.0,101.0,17.0,39.5
Nikita,Pelizon,9.0,40.0,207.0,112.0,81.0,108.0
Oriana,Marzioli,19.0,35.0,203.0,21.0,17.0,-9.0
Patrizia,Rossetti,0.0,1.0,27.0,8.0,3.0,6.5
Sarah,Altobelli,0.0,0.0,12.0,8.0,2.0,6.0
Giaele,De Donà,21.0,25.0,182.0,77.0,13.0,18.0
Wilma,Goich,0.0,1.0,27.0,9.0,0.0,4.0
