Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,13.0,29.0,70.0,64.0,30.0,34.5
Antonino,Spinalbese,207.0,187.0,440.0,60.0,52.0,-218.5
Attilio,Romita,0.0,16.0,1.0,1.0,1.0,-6.5
Charlie,Gnocchi,0.0,0.0,0.0,0.0,0.0,0.0
Daniele,Dal Moro,0.0,20.0,52.0,23.0,36.0,37.5
Edoardo,Donnamaria,0.0,3.0,3.0,1.0,0.0,-1.0
Edoardo,Tavassi,0.0,0.0,9.0,0.0,3.0,3.0
George,Ciupilan,135.0,169.0,142.0,13.0,9.0,-204.0
Luca,Onestini,2.0,0.0,162.0,6.0,2.0,3.0
Luca,Salatino,0.0,0.0,0.0,0.0,0.0,0.0
Luciano,Punzo,0.0,0.0,4.0,1.0,0.0,0.5
Micol,Incorvaia,0.0,3.0,66.0,9.0,7.0,10.0
Nikita,Pelizon,156.0,225.0,451.0,127.0,96.0,-109.0
Oriana,Marzioli,6.0,19.0,332.0,69.0,33.0,52.0
Patrizia,Rossetti,0.0,0.0,11.0,7.0,3.0,6.5
Sarah,Altobelli,2.0,6.0,69.0,29.0,25.0,34.5
Giaele,De Donà,0.0,3.0,55.0,14.0,10.0,15.5
Wilma,Goich,0.0,0.0,28.0,16.0,7.0,15.0
