Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,7.0,43.0,343.0,180.0,63.0,124.5
Antonino,Spinalbese,9.0,16.0,93.0,36.0,25.0,26.0
Attilio,Romita,2.0,19.0,17.0,19.0,1.0,-1.0
Charlie,Gnocchi,0.0,0.0,23.0,16.0,1.0,9.0
Daniele,Dal Moro,5.0,89.0,284.0,159.0,85.0,115.0
Edoardo,Donnamaria,0.0,0.0,90.0,0.0,2.0,2.0
Edoardo,Tavassi,0.0,2.0,12.0,26.0,3.0,15.0
George,Ciupilan,32.0,24.0,97.0,28.0,18.0,-12.0
Luca,Onestini,0.0,2.0,33.0,0.0,20.0,19.0
Luca,Salatino,1.0,0.0,1.0,0.0,1.0,0.0
Luciano,Punzo,0.0,2.0,89.0,0.0,0.0,-1.0
Micol,Incorvaia,0.0,7.0,111.0,23.0,6.0,14.0
Nikita,Pelizon,5.0,41.0,391.0,202.0,122.0,197.5
Oriana,Marzioli,9.0,19.0,179.0,25.0,22.0,16.0
Patrizia,Rossetti,1.0,0.0,2.0,1.0,10.0,9.5
Sarah,Altobelli,0.0,0.0,3.0,0.0,1.0,1.0
Giaele,De Donà,9.0,6.0,96.0,18.0,15.0,12.0
Wilma,Goich,0.0,19.0,15.0,10.0,20.0,15.5
