Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,42.0,110.0,570.0,77.0,41.0,-17.5
Antonino,Spinalbese,0.0,12.0,41.0,11.0,13.0,12.5
Attilio,Romita,0.0,21.0,5.0,3.0,0.0,-9.0
Charlie,Gnocchi,0.0,0.0,0.0,0.0,0.0,0.0
Daniele,Dal Moro,0.0,12.0,30.0,11.0,23.0,22.5
Edoardo,Donnamaria,0.0,1.0,0.0,0.0,0.0,-0.5
Edoardo,Tavassi,0.0,0.0,40.0,1.0,0.0,0.5
George,Ciupilan,0.0,14.0,111.0,1.0,2.0,-4.5
Luca,Onestini,0.0,0.0,0.0,0.0,1.0,1.0
Luca,Salatino,0.0,0.0,0.0,0.0,0.0,0.0
Luciano,Punzo,0.0,0.0,1.0,1.0,0.0,0.5
Micol,Incorvaia,44.0,134.0,326.0,48.0,10.0,-77.0
Nikita,Pelizon,10.0,43.0,141.0,42.0,30.0,19.5
Oriana,Marzioli,1.0,78.0,142.0,23.0,6.0,-22.5
Patrizia,Rossetti,5.0,0.0,22.0,2.0,2.0,-2.0
Sarah,Altobelli,0.0,14.0,73.0,0.0,2.0,-5.0
Giaele,De Donà,0.0,53.0,38.0,1.0,14.0,-12.0
Wilma,Goich,0.0,1.0,6.0,2.0,2.0,2.5
