Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,1.0,18.0,150.0,58.0,51.0,70.0
Antonino,Spinalbese,19.0,2.0,87.0,22.0,30.0,21.0
Attilio,Romita,0.0,0.0,9.0,32.0,1.0,17.0
Charlie,Gnocchi,0.0,0.0,0.0,2.0,0.0,1.0
Daniele,Dal Moro,5.0,30.0,198.0,64.0,108.0,120.0
Edoardo,Donnamaria,0.0,0.0,14.0,3.0,1.0,2.5
Edoardo,Tavassi,0.0,0.0,6.0,0.0,9.0,9.0
George,Ciupilan,0.0,6.0,17.0,2.0,4.0,2.0
Luca,Onestini,0.0,0.0,47.0,0.0,4.0,4.0
Luca,Salatino,0.0,0.0,6.0,0.0,0.0,0.0
Luciano,Punzo,0.0,0.0,20.0,17.0,4.0,12.5
Micol,Incorvaia,0.0,1.0,36.0,6.0,7.0,9.5
Nikita,Pelizon,13.0,128.0,567.0,162.0,141.0,145.0
Oriana,Marzioli,28.0,15.0,170.0,104.0,113.0,129.5
Patrizia,Rossetti,0.0,0.0,3.0,0.0,1.0,1.0
Sarah,Altobelli,2.0,8.0,160.0,74.0,42.0,73.0
Giaele,De Donà,1.0,7.0,51.0,53.0,38.0,60.0
Wilma,Goich,1.0,6.0,51.0,8.0,9.0,9.0
