Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,29.0,56.0,565.0,275.0,47.0,127.5
Antonino,Spinalbese,2.0,8.0,80.0,15.0,6.0,7.5
Attilio,Romita,0.0,0.0,3.0,0.0,0.0,0.0
Charlie,Gnocchi,0.0,5.0,61.0,3.0,3.0,2.0
Daniele,Dal Moro,0.0,2.0,15.0,0.0,10.0,9.0
Edoardo,Donnamaria,0.0,1.0,44.0,3.0,1.0,2.0
Edoardo,Tavassi,0.0,2.0,8.0,0.0,0.0,-1.0
George,Ciupilan,0.0,0.0,29.0,5.0,0.0,2.5
Luca,Onestini,0.0,0.0,11.0,0.0,0.0,0.0
Luca,Salatino,0.0,0.0,6.0,0.0,0.0,0.0
Luciano,Punzo,0.0,0.0,15.0,6.0,5.0,8.0
Micol,Incorvaia,12.0,28.0,255.0,230.0,47.0,136.0
Nikita,Pelizon,2.0,12.0,114.0,17.0,10.0,10.5
Oriana,Marzioli,1.0,4.0,38.0,12.0,6.0,9.0
Patrizia,Rossetti,1.0,6.0,61.0,23.0,15.0,22.5
Sarah,Altobelli,0.0,1.0,0.0,0.0,0.0,-0.5
Giaele,De Donà,15.0,13.0,118.0,55.0,7.0,13.0
Wilma,Goich,3.0,3.0,38.0,12.0,13.0,14.5
