Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,65.0,44.0,519.0,99.0,59.0,21.5
Antonino,Spinalbese,0.0,10.0,134.0,29.0,13.0,22.5
Attilio,Romita,7.0,3.0,95.0,105.0,28.0,72.0
Charlie,Gnocchi,2.0,13.0,24.0,23.0,7.0,10.0
Daniele,Dal Moro,17.0,49.0,334.0,139.0,56.0,84.0
Edoardo,Donnamaria,1.0,4.0,43.0,2.0,3.0,1.0
Edoardo,Tavassi,0.0,1.0,2.0,1.0,0.0,0.0
George,Ciupilan,1.0,0.0,98.0,7.0,3.0,5.5
Luca,Onestini,0.0,0.0,5.0,1.0,2.0,2.5
Luca,Salatino,0.0,0.0,1.0,0.0,4.0,4.0
Luciano,Punzo,0.0,0.0,4.0,0.0,0.0,0.0
Micol,Incorvaia,58.0,8.0,38.0,39.0,6.0,-36.5
Nikita,Pelizon,0.0,0.0,90.0,30.0,20.0,35.0
Oriana,Marzioli,2.0,4.0,202.0,27.0,8.0,17.5
Patrizia,Rossetti,2.0,2.0,36.0,15.0,9.0,13.5
Sarah,Altobelli,1.0,0.0,10.0,2.0,0.0,0.0
Giaele,De Donà,0.0,1.0,35.0,0.0,1.0,0.5
Wilma,Goich,0.0,1.0,36.0,10.0,13.0,17.5
