Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,0.0,29.0,192.0,96.0,50.0,83.5
Antonino,Spinalbese,15.0,40.0,197.0,71.0,42.0,42.5
Attilio,Romita,0.0,8.0,55.0,44.0,12.0,30.0
Charlie,Gnocchi,0.0,5.0,154.0,83.0,29.0,68.0
Daniele,Dal Moro,1.0,17.0,79.0,82.0,28.0,59.5
Edoardo,Donnamaria,2.0,0.0,20.0,1.0,2.0,0.5
Edoardo,Tavassi,2.0,0.0,30.0,2.0,0.0,-1.0
George,Ciupilan,1.0,30.0,175.0,28.0,1.0,-1.0
Luca,Onestini,0.0,9.0,28.0,15.0,5.0,8.0
Luca,Salatino,0.0,0.0,16.0,8.0,6.0,10.0
Luciano,Punzo,7.0,9.0,48.0,9.0,6.0,-1.0
Micol,Incorvaia,5.0,21.0,78.0,34.0,24.0,25.5
Nikita,Pelizon,1.0,141.0,408.0,158.0,62.0,69.5
Oriana,Marzioli,2.0,39.0,129.0,34.0,13.0,8.5
Patrizia,Rossetti,1.0,26.0,67.0,18.0,7.0,2.0
Sarah,Altobelli,0.0,6.0,16.0,2.0,0.0,-2.0
Giaele,De Donà,1.0,9.0,82.0,17.0,14.0,17.0
Wilma,Goich,0.0,18.0,40.0,2.0,3.0,-5.0
