Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,17.0,35.0,206.0,58.0,21.0,15.5
Antonino,Spinalbese,2.0,16.0,265.0,70.0,34.0,59.0
Attilio,Romita,0.0,0.0,103.0,5.0,1.0,3.5
Charlie,Gnocchi,14.0,36.0,334.0,161.0,39.0,87.5
Daniele,Dal Moro,0.0,2.0,99.0,33.0,7.0,22.5
Edoardo,Donnamaria,0.0,0.0,5.0,5.0,0.0,2.5
Edoardo,Tavassi,0.0,4.0,50.0,3.0,3.0,2.5
George,Ciupilan,0.0,22.0,249.0,68.0,23.0,46.0
Luca,Onestini,0.0,0.0,0.0,4.0,6.0,8.0
Luca,Salatino,0.0,0.0,35.0,2.0,0.0,1.0
Luciano,Punzo,0.0,9.0,82.0,21.0,17.0,23.0
Micol,Incorvaia,12.0,48.0,139.0,30.0,22.0,1.0
Nikita,Pelizon,0.0,57.0,293.0,109.0,71.0,97.0
Oriana,Marzioli,0.0,31.0,224.0,45.0,29.0,36.0
Patrizia,Rossetti,0.0,0.0,36.0,8.0,7.0,11.0
Sarah,Altobelli,0.0,5.0,7.0,4.0,1.0,0.5
Giaele,De Donà,1.0,5.0,17.0,7.0,2.0,2.0
Wilma,Goich,0.0,0.0,15.0,10.0,2.0,7.0
