Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,4.0,31.0,422.0,66.0,71.0,84.5
Antonino,Spinalbese,0.0,12.0,152.0,43.0,12.0,27.5
Attilio,Romita,2.0,3.0,107.0,23.0,20.0,28.0
Charlie,Gnocchi,2.0,28.0,40.0,21.0,11.0,5.5
Daniele,Dal Moro,1.0,4.0,107.0,20.0,41.0,48.0
Edoardo,Donnamaria,0.0,1.0,9.0,1.0,0.0,0.0
Edoardo,Tavassi,0.0,0.0,6.0,3.0,0.0,1.5
George,Ciupilan,5.0,15.0,107.0,12.0,13.0,6.5
Luca,Onestini,0.0,1.0,21.0,5.0,1.0,3.0
Luca,Salatino,0.0,0.0,0.0,0.0,0.0,0.0
Luciano,Punzo,0.0,0.0,6.0,0.0,4.0,4.0
Micol,Incorvaia,6.0,26.0,305.0,52.0,37.0,44.0
Nikita,Pelizon,3.0,30.0,345.0,80.0,78.0,100.0
Oriana,Marzioli,1.0,18.0,184.0,27.0,46.0,49.5
Patrizia,Rossetti,0.0,15.0,23.0,4.0,20.0,14.5
Sarah,Altobelli,0.0,1.0,52.0,13.0,5.0,11.0
Giaele,De Donà,3.0,34.0,218.0,27.0,37.0,30.5
Wilma,Goich,0.0,1.0,6.0,1.0,0.0,0.0
