Alberto;De Pisis
Antonella;Fiordelisi
Antonino;Spinalbese
Attilio;Romita
Charlie;Gnocchi
Daniele;Dal Moro
Edoardo;Donnamaria
Edoardo;Tavassi
George;Ciupilan
Luca;Onestini
Luca;Salatino
Luciano;Punzo
Micol;Incorvaia
Nikita;Pelizon
Oriana;Marzioli
Patrizia;Rossetti
Sarah;Altobelli
Giaele;De Donà
Wilma;Goich
